PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,8547
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,8547
Community,384,"""PROTOCOL-ICMP PING""",,,,,,8547
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,4797
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,8794
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,8794
Community,384,"""PROTOCOL-ICMP PING""",,,,,,8794
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,4936
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,8986
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,8986
Community,384,"""PROTOCOL-ICMP PING""",,,,,,8986
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,5012
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,9223
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,9223
Community,384,"""PROTOCOL-ICMP PING""",,,,,,9223
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,5148
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,9339
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,9339
Community,384,"""PROTOCOL-ICMP PING""",,,,,,9339
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,5192
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,8547
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,8794
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,8986
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,9223
ETOpen,2100366,GPL ICMP_INFO PING *NIX,,,,,,9339
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,8547
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,8547
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,8547
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,4797
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,8794
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,8794
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,8794
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,4936
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,8986
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,8986
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,8986
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,5012
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,9223
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,9223
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,9223
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,5148
Talos,366,"""PROTOCOL-ICMP PING Unix""",,,,,,9339
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,9339
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,9339
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,5192
Talos,57756,"""MALWARE-CNC DNS Fast Flux attempt""",,192.168.0.35,192.168.0.20,53,54825,14840
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.35,192.168.0.20,53,54825,14840
Talos,57756,"""MALWARE-CNC DNS Fast Flux attempt""",,192.168.0.35,192.168.0.20,53,36440,14842
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.35,192.168.0.20,53,36440,14842
Talos,57756,"""MALWARE-CNC DNS Fast Flux attempt""",,192.168.0.35,192.168.0.20,53,50802,14845
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.35,192.168.0.20,53,50802,14845
Talos,57756,"""MALWARE-CNC DNS Fast Flux attempt""",,192.168.0.35,192.168.0.20,53,50943,14851
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.35,192.168.0.20,53,50943,14851
Talos,57756,"""MALWARE-CNC DNS Fast Flux attempt""",,192.168.0.35,192.168.0.20,53,60476,14855
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.35,192.168.0.20,53,60476,14855
Talos,57756,"""MALWARE-CNC DNS Fast Flux attempt""",,192.168.0.35,192.168.0.20,53,54160,14864
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.35,192.168.0.20,53,54160,14864
Talos,57756,"""MALWARE-CNC DNS Fast Flux attempt""",,192.168.0.35,192.168.0.20,53,40371,14866
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.35,192.168.0.20,53,40371,14866
Talos,57756,"""MALWARE-CNC DNS Fast Flux attempt""",,192.168.0.35,192.168.0.20,53,43840,14890
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.35,192.168.0.20,53,43840,14890
Talos,57756,"""MALWARE-CNC DNS Fast Flux attempt""",,192.168.0.35,192.168.0.20,53,47821,14908
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.35,192.168.0.20,53,47821,14908
Talos,57756,"""MALWARE-CNC DNS Fast Flux attempt""",,192.168.0.35,192.168.0.20,53,60945,14916
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.35,192.168.0.20,53,60945,14916
Talos,57756,"""MALWARE-CNC DNS Fast Flux attempt""",,192.168.0.35,192.168.0.20,53,60399,14926
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.35,192.168.0.20,53,60399,14926
Talos,57756,"""MALWARE-CNC DNS Fast Flux attempt""",,192.168.0.35,192.168.0.20,53,57989,14928
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.0.35,192.168.0.20,53,57989,14928
